#|
Ausführen|Go!
dorf|village
Nach einem Flugzeugabsturz stellst du fest, dass du der einzige Überlebende bist. Du landest auf einer Insel, erkundest sie und findest einige Dörfer:|After being involved in an air crash, you will soon realize you are the only survivor. You are now stuck on an island and will explore its villages:
dorfnr|villageid
name|name
haeuptling|chief
Du triffst während deiner Erkundung auf viele Bewohner der Insel. Welche?|You meet a lot of people along the way. Who?
bewohner|inhabitant
Deine Erkundung hat dich hungrig gemacht. Lass uns eine Metzgerei suchen und eine Gratis-Wurstscheibe schnorren!|Your journey has made you hungry. Let's find a butcher and ask him for free sausages.
bewohnernr|personid
geschlecht|gender
Juhu, Erich gibt uns eine Scheibe Wurst! Bei deiner weiteren Reise solltest du jedoch beachten, dass nicht alle Bewohner friedlich sind. Da du nicht bewaffnet bist, solltest du dich zunächst von den bösen Bewohnern fernhalten. Welche Bewohner sind friedlich?|Hooray! Edward provides you with some free pork. But not everyone is as friendly on this island. Some are evil. As long as you are unarmed, stay away from villains. How can you tell who is friendly?
beruf|job
Sehr gut! Nun suche dir einen friedlichen Waffenschmied, der dir ein Schwert schmieden kann. (Hinweis: Bedingungen im WHERE-Teil kannst du mit AND verknüpfen)|Very well! Now, in order to get yourself a sword, seek a friendly weaponsmith to make you one. (Hint: You can combine predicates in the WHERE clause with an AND)
gold|gold
status|state
Hm, das sind sehr wenige. Vielleicht gibt es noch andere Schmiede, z.B. Hufschmied, Schmied, Waffenschmied, etc. Probiere beruf LIKE '%schmied', um alle Bewohner zu finden, deren Beruf mit 'schmied' endet (% ist ein Platzhalter für beliebig viele Zeichen).|Oh, that does not look good. Maybe other friendly smiths can help you out, e.g. a blacksmith. Try out: job LIKE '%smith' to find all inhabitants whose job ends with 'smith' (% is a wildcard for any number of characters).
gegenstand|item
Sehr gut! Diese Schmiede kommen alle in Frage. Du gehst sie nacheinader besuchen, um sie zu fragen, ob sie dir ein Schwert schmieden können.<br>Während deiner Erkundungstour triffst du auf Paul, einen Bürgermeister. Er trägt dich als Bewohner in sein Dorf ein. Da er dich nicht nach deinem Namen gefragt hat, nennt er dich &quot;Fremder&quot;.|Great! All the smiths can help you. Now you visit each and every one of them and ask them to give an estimate for a sword. During your mission, you encounter Paul who is the major of the village Monkeycity. He signs you in as an inhabitant. He never asked for your name, so from now you are referred to as 'Stranger'.
besitzer|owner
Neustart|Restart
Finde deine bewohnernr heraus! (Tipp: Der * in den vorherigen Abfragen stand immer für &quot;alle Spalten&quot;. Stattdessen kannst du aber auch einen oder mehrere mit Komma getrennte Spaltennamen angeben.|Find out your personid! (Hint: In former queries, the * stands for: all columns. Instead of the star, you can name one or more columns (seperated by a comma) and you will only get the columns you need.)
Spiel wirklich neustarten?|Do you really want to restart the game?
Nun besuchst du einen der Schmiede, die du dir rausgesucht hast. Er sagt dir, dass ein Schwert 150 Gold kostet. Wie viel Gold hast du momentan?|You choose a smith to make a sword for you for 150 gold. How much gold do you have?
Mist! Um an Gold zu kommen, müsstest du arbeiten... Obwohl! Man erzählt sich, dass auf der Insel viele Gegenstände herumliegen, die niemandem gehören. Diese Gegenstände kannst du einsammeln und an Händler verkaufen. Liste alle Gegenstände auf, die niemandem gehören. Tipp: Herrenlose Gegenstände erkennt man an WHERE besitzer IS NULL.|Damn! No mon, no fun. There needs to be another option to earn gold than to go to work. Why don't you collect ownerless items and sell them? Can you list all items that have no owner? (Hint: You can recognize ownerless items by: WHERE owner IS NULL)
Lasst uns die Kaffeetasse einsammeln. Eine Kaffeetasse kann man immer mal gebrauchen.|Yay, a coffee cup. Let's collect it!
Kennst du einen Trick, wie wir alle Gegenstände auf einmal einsammeln können, die niemandem gehören?|Do you know a trick how to collect all the ownerless items?
Yeah! Zeige mir nun alle Gegenstände, die wir haben!|Hooray! Now list all of the items you have!
Finde friedliche Bewohner mit dem Beruf Haendler oder Kaufmann. Eventuell möchten sie etwas von uns kaufen. (Hinweis: Achte bei AND- und OR-Verknüpfungen auf korrekte Klammerung)|Find a friendly inhabitant who is either a dealer or a merchant. Maybe they want to buy some of your items. (Hint: When you use both AND and OR, don't forget to put brackets correctly!)
Du besuchst alle diese Händler und Kaufleute. Sie finden, du besitzt nur Schrott. Lediglich Helga Rasenkopf mit der Bewohnernummer 15 ist an dem Ring und der Teekanne interessiert. Gib ihr die beiden Gegenstände!|Every dealer and merchant you visit believe that all your items are scrap. Only Helen Grasshead with personid 15 wants to have the ring and the teapot. Give the two items to her!
Sehr gut! Helga gibt dir einen Haufen Gold!|Very cool, Helen gives you some gold!
Leider reicht das noch nicht für ein Schwert. Dann musst du wohl doch arbeiten. Bevor du dich jedoch irgendwo bewirbst, solltest du vielleicht deinen Namen von Fremder auf deinen richtigen Namen ändern, ansonsten wird dich niemand einstellen.|Unfortunately, that's not enough gold to buy a sword. Seems like you do have to work after all. Maybe it's not a bad idea to change your name from Stranger to your real name before you apply for a job.
In deiner Freizeit backst du gerne. Wie wäre es, wenn du dir ein bisschen Geld als Bäcker verdienst? Liste zunächst alle Bäcker auf. Mit ORDER BY gold kannst du die Liste sortieren, mit ORDER BY gold DESC steht sogar der reichste Bäcker oben.|Since baking is one of your hobbies, why not find a baker who you can work for. List all bakers and use 'ORDER BY gold' to sort the results. 'ORDER BY gold DESC' is even better because then the richest baker is on top.
