dorf|village
dorfnr|villageid
name|name
haeuptling|chief
Affenstadt|Monkeycity
Gurkendorf|Cucumbertown
Zwiebelhausen|Onionville
bewohner|inhabitant
bewohnernr|personid
geschlecht|gender
beruf|job
gold|gold
status|state
Paul Backmann|Paul Bakerman
m|m
Baecker|baker
friedlich|friendly
Ernst Peng|Ernest Perry
Waffenschmied|weaponsmith
Rita Ochse|Rita Ox
w|f
Carl Ochse|Carl Ox
Kaufmann|merchant
Dirty Dieter|Dirty Dieter
Schmied|smith
boese|evil
Gerd Schlachter|Gerry Slaughterer
Metzger|butcher
Peter Schlachter|Peter Slaughterer
Arthur Schneiderpaule|Arthur Tailor
Pilot|pilot
gefangen|kidnapped
Tanja Trommler|Tiffany Drummer
Peter Trommler|Peter Drummer
Dirty Doerthe|Dirty Diane
Erntehelfer|farmer
Otto Armleuchter|Otto Alexander
Haendler|dealer
Fritz Dichter|Fred Dix
Hoerbuchautor|author
Enrico Zimmermann|Enrico Carpenter
Helga Rasenkopf|Helen Grasshead
Irene Hutmacher|Ivy Hatter
Erich Rasenkopf|Edward Grasshead
Rudolf Gaul|Ryan Horse
Hufschmied|blacksmith
Anna Flysh|Ann Meaty
gegenstand|item
besitzer|owner
Teekanne|teapot
Spazierstock|cane
Hammer|hammer
Ring|ring
Kaffeetasse|coffee cup
Eimer|bucket
Seil|rope
Pappkarton|carton
Gluehbirne|lightbulb
Spielanleitung|Game Instructions
Spiel neustarten|Restart Game
Game-Trailer Video anschauen|Watch Game-Trailer Video
Hui, was ist passiert? Es scheint, als habe ich als einziger den Flugzeugabsturz überlebt. Gut, dass ich auf dieser Insel gelandet bin. Hier gibt es ja sogar ein paar Dörfer.|Oh dear, what happened? It seems that I am the only survivor of the air crash. Wow, there are some villages on this island.
Und jede Menge Bewohner gibt es hier auch. Zeige mir die Liste der Bewohner.|It seems there are a few people living in these villages. How can I see a list of all inhabitants?
Wow, hier ist einiges los!|Woah, so many people!
Mensch, was bin ich hungrig. Ich suche mir erst einmal einen Metzger, bei dem ich eine Scheibe Wurst schnorren kann.|Man! I'm hungry. I will go and find a butcher to ask for some free sausages.
Hier, lass es dir schmecken! Und pass bei deiner Reise gut auf, dass du dich von bösen Bewohnern fern hälst, solange du unbewaffnet bist. Denn nicht jeder hier ist friedlich!|There you are! Enjoy your meal! But take care of yourself. As long as you are unarmed, stay away from villains. Not everyone on this island is friendly.
Danke Erich! Nagut, dann muss ich mal schauen, welche Bewohner friedlich sind.|Thank you, Edward! Okay, let's see who is friendly on this island...
Früher oder später brauche ich aber ein Schwert. Lasst uns einen friedlichen Waffenschmied suchen, der mir ein Schwert schmieden kann. (Hinweis: Bedingungen im WHERE-Teil kannst du mit AND verknüpfen)|There is no way around getting a sword for myself. I will now try to find a friendly weaponsmith to forge me one. (Hint: You can combine predicates in the WHERE clause with AND)
Hm, das sind sehr wenige. Vielleicht gibt es noch andere friedliche Schmiede, z.B. Hufschmied, Schmied, Waffenschmied, etc. Probiere beruf LIKE '%schmied', um alle Bewohner zu finden, deren Beruf mit 'schmied' endet (% ist ein Platzhalter für beliebig viele Zeichen).|Oh, that does not look good. Maybe other friendly smiths can help you out, e.g. a blacksmith. Try out: job LIKE '%smith' to find all inhabitants whose job ends with 'smith' (% is a wildcard for any number of characters).
schmied|smith
Das sieht schon besser aus! Diese Schmiede kommen alle in Frage. Ich gehe sie dann mal nacheinander besuchen.|That looks better! I will go and visit those smiths.
Hallo Fremder, wohin des Wegs? Ich bin Paul, der Bürgermeister von Affenstadt. Ich trage dich gerne als Bewohner meines Dorfes ein.|Hi stranger! Where are you going? I'm Paul, I'm the major of Monkeycity. I will go ahead and register you as a citizen.
Fremder|Stranger
Hey, nenn mich doch nicht Fremder! Naja, egal. Wie ist eigentlich meine bewohnernr? (Tipp: Der * in den vorherigen Abfragen stand immer für 'alle Spalten'. Stattdessen kannst du aber auch einen oder mehrere mit Komma getrennte Spaltennamen angeben.|No need to call me stranger! What's my personid? (Hint: In former queries, the * stands for: all columns. Instead of the star, you can also address one or more columns (seperated by a comma) and you will only get the columns you need.)
Hallo Ernst! Was kostet bei dir ein Schwert?|Hi Ernest! How much is a sword?
Ich schmiede dir ein Schwert für nur 150 Gold. Billiger bekommst du es nirgendwo! Wie viel Gold hast du momentan?|I can offer to make you a sword for 150 gold. That's the cheapest you will find! How much gold do you have?
Mist, ich habe ja noch gar kein Gold. Ich habe aber auch keine Lust dafür arbeiten zu gehen. Hmmm, vorhin habe ich viele Gegenstände herumliegen gesehen, die niemandem gehören. Diese Gegenstände könnte ich einsammeln und an Händler verkaufen. Liste alle Gegenstände auf, die niemandem gehören. Tipp: Herrenlose Gegenstände erkennt man an WHERE besitzer IS NULL.|Damn! No mon, no fun. There has to be another option to earn gold other than going to work. Maybe I could collect ownerless items and sell them! Can I make a list of all items that don't belong to anyone? (Hint: You can recognize ownerless items by: WHERE owner IS NULL)
So viele tolle Sachen!|So much cool stuff!
Lasst uns die Kaffeetasse einsammeln. Eine Kaffeetasse kann man immer mal gebrauchen.|Yay, a coffee cup. Let's collect it!
Kennst du einen Trick, wie wir alle Gegenstände auf einmal einsammeln können, die niemandem gehören?|Do you know a trick how to collect all the ownerless items?
