dorf|village
dorfnr|villageid
name|nom
haeuptling|chef
Affenstadt|Singecity
Gurkendorf|Concombreville
Zwiebelhausen|Oignonplace
bewohner|habitant
bewohnernr|personneid
geschlecht|genre
beruf|metier
gold|monnaie
status|statut
Paul Backmann|Paul Boulanger
m|m
Baecker|boulanger
friedlich|pacifique
Ernst Peng|Ernest Poiré
Waffenschmied|armurier-forgeron
Rita Ochse|Rita Leboeuf
w|f
Carl Ochse|Carl Leboeuf
Kaufmann|marchand
Dirty Dieter|Dirty Dieter
Schmied|forgeron
boese|maléfique
Gerd Schlachter|Gérard Labat
Metzger|boucher
Peter Schlachter|Pierre Labat
Arthur Schneiderpaule|Arthur Tailleur
Pilot|pilote
gefangen|kidnappé
Tanja Trommler|Tiphaine Batteur
Peter Trommler|Pierre Batteur
Dirty Doerthe|Dirty Diane
Erntehelfer|fermier
Otto Armleuchter|Otto Chandelier
Haendler|revendeur
Fritz Dichter|Fred Poète
Hoerbuchautor|auteur
Enrico Zimmermann|Enrico Charpentier
Helga Rasenkopf|Hélène Gazon
Irene Hutmacher|Irène Chapelier
Erich Rasenkopf|Edouard Gazon
Rudolf Gaul|Rodolphe Canasson
Hufschmied|maréchal-ferrant-forgeron
Anna Flysh|Anne Carné
gegenstand|objet
besitzer|proprietaire
Teekanne|théière
Spazierstock|canne
Hammer|marteau
Ring|bague
Kaffeetasse|tasse à café
Eimer|seau
Seil|corde
Pappkarton|boite en carton
Gluehbirne|ampoule
Spielanleitung|Règles du jeu
Spiel neustarten|Recommencer le jeu
Game-Trailer Video anschauen|Regarder la bande-annonce du jeu
Hui, was ist passiert? Es scheint, als habe ich als einziger den Flugzeugabsturz überlebt. Gut, dass ich auf dieser Insel gelandet bin. Hier gibt es ja sogar ein paar Dörfer.|Oh, que s'est-il passé ? Il semble que je sois le seul à avoir survécu à l'accident d'avion. Heureusement que j'ai atterri sur cette île. Il y a même des villages ici.
Und jede Menge Bewohner gibt es hier auch. Zeige mir die Liste der Bewohner.|Et beaucoup d'habitants, aussi. Comment faire pour afficher la liste de tous les habitants ?
Wow, hier ist einiges los!|Woah, ça fait du monde !
Mensch, was bin ich hungrig. Ich suche mir erst einmal einen Metzger, bei dem ich eine Scheibe Wurst schnorren kann.|Eh mec, j'ai faim ! Je vais chercher un boucher pour quémender un bout de saucisse.
Hier, lass es dir schmecken! Und pass bei deiner Reise gut auf, dass du dich von bösen Bewohnern fern hälst, solange du unbewaffnet bist. Denn nicht jeder hier ist friedlich!|Tenez, bon appétit ! Et pendant votre séjour, tant que vous n'êtes pas armé, restez bien à l'écart des habitants maléfiques. Parce que tout le monde n'est pas pacifique  ici !
Danke Erich! Nagut, dann muss ich mal schauen, welche Bewohner friedlich sind.|Merci Edouard ! Alors, je voudrais voir la liste des habitants pacifiques.
Früher oder später brauche ich aber ein Schwert. Lasst uns einen friedlichen Waffenschmied suchen, der mir ein Schwert schmieden kann. (Hinweis: Bedingungen im WHERE-Teil kannst du mit AND verknüpfen)|Tôt ou tard, j'aurai besoin d'une épée. Trouvons un armurier-forgeron pacifique qui pourra me fabriquer une épée. (Note : Vous pouvez cumuler les conditions après la clause WHERE en utilisant la clause AND)
