dorf|falu|
dorfnr|faluid|
name|nev|
haeuptling|vezeto|
Affenstadt|Majomváros|
Gurkendorf|Uborkás|
Zwiebelhausen|Hagymafalu|
bewohner|lakos|
bewohnernr|azonositoid|
geschlecht|neme|
beruf|foglalkozas|
gold|arany|
status|statusz|
Paul Backmann|Pék Jani|
m|f|
Baecker|pék|
friedlich|barátságos|
Ernst Peng|Magas Józsi|
Waffenschmied|fegyverkovács|
Rita Ochse|Apró Rita|
w|n|
Carl Ochse|Apró Karcsi|
Kaufmann|kereskedő|
Dirty Dieter|Piszkos Feri|
Schmied|kovács|
boese|gonosz|
Gerd Schlachter|Villám Geri|
Metzger|hentes|
Peter Schlachter|Villám Peti|
Arthur Schneiderpaule|Szabó Dani|
Pilot|pilóta|
gefangen|elrabolva|
Tanja Trommler|Dobos Ica|
Peter Trommler|Dobos Peti|
Dirty Doerthe|Piszkos Juli|
Erntehelfer|farmer|
Otto Armleuchter|Napos Ottó|
Haendler|árus|
Fritz Dichter|Hajas Levi|
Hoerbuchautor|író|
Enrico Zimmermann|Ács Géza|
Helga Rasenkopf|Füves Helga|
Irene Hutmacher|Arany Tomi|
Erich Rasenkopf|Füves Bandi|
Rudolf Gaul|Lovas Laci|
Hufschmied|kovács|
Anna Flysh|Kerek Anna|
gegenstand|targy|
besitzer|tulajdonos|
Teekanne|teáskanna|
Spazierstock|vessző|
Hammer|kalapács|
Ring|gyűrű|
Kaffeetasse|kávéscsésze|
Eimer|vödör|
Seil|kötél|
Pappkarton|kartondoboz|
Gluehbirne|villanykörte|
Spielanleitung|Játékismertető|
Spiel neustarten|Újra játszom|
Game-Trailer Video anschauen|Bemutató videó|
Hui, was ist passiert? Es scheint, als habe ich als einziger den Flugzeugabsturz überlebt. Gut, dass ich auf dieser Insel gelandet bin. Hier gibt es ja sogar ein paar Dörfer.|Jajj, mi történt? Úgy tűnik, hogy én vagyok az egyetlen túlélője a légi balesetnek. Hűha, van néhány falu ezen a szigeten.|
Und jede Menge Bewohner gibt es hier auch. Zeige mir die Liste der Bewohner.|Úgy tűnik, laknak emberek is ezekben a falvakban. Hogyan tudhatom meg, hogy kik ők?|
Wow, hier ist einiges los!|Hú, mennyi ember!|
Mensch, was bin ich hungrig. Ich suche mir erst einmal einen Metzger, bei dem ich eine Scheibe Wurst schnorren kann.|A fene! Éhes vagyok. Megyek és megkeresem a hentest, hogy kérjek egy kis ingyen kolbászt.|
