dorf|aldeia
dorfnr|idaldeia
name|nome
haeuptling|chefe
Affenstadt|Cidade Macaco
Gurkendorf|Cidade Pepino
Zwiebelhausen|Cidade Cebola
bewohner|habitante
bewohnernr|idpessoa
geschlecht|gênero
beruf|trabalho
gold|ouro
status|status
Paul Backmann|Paul Padeiro
m|m
Baecker|padeiro
friedlich|amigável
Ernst Peng|Ernesto Perada
Waffenschmied|armamento-ferreiro
Rita Ochse|Rita Ox
w|f
Carl Ochse|Carl Ox
Kaufmann|mercador
Dirty Dieter|Dieter Sujo
Schmied|ferreiro
boese|maldoso
Gerd Schlachter|Guerry Abatedor
Metzger|açougueiro
Peter Schlachter|Peter Abatedor
Arthur Schneiderpaule|Arthur Alfaiate
Pilot|piloto
gefangen|sequestrado
Tanja Trommler|Tiffany Bateirista
Peter Trommler|Peter Bateirista
Dirty Doerthe|Diane Suja
Erntehelfer|fazendeiro
Otto Armleuchter|Otto Alexander
Haendler|negociante
Fritz Dichter|Fred Dix
Hoerbuchautor|autor
Enrico Zimmermann|Enrico Carpinteiro
Helga Rasenkopf|Helen Cabeça de Grama
Irene Hutmacher|Ivy Chapeleiro
Erich Rasenkopf|Edward Cabeça de Grama
Rudolf Gaul|Ryan Cavalo
Hufschmied|equipamento-ferreiro
Anna Flysh|Ann Carninha
gegenstand|item
besitzer|proprietário
Teekanne|bule
Spazierstock|bengala
Hammer|martelo
Ring|anel
Kaffeetasse|xícara
Eimer|balde
Seil|corda
Pappkarton|caixa
Gluehbirne|lâmpada
Spielanleitung|Instruções de Jogo
Spiel neustarten|Recomeçar Jogo
Game-Trailer Video anschauen|Assista o Trailer do Jogo
Hui, was ist passiert? Es scheint, als habe ich als einziger den Flugzeugabsturz überlebt. Gut, dass ich auf dieser Insel gelandet bin. Hier gibt es ja sogar ein paar Dörfer.|Ó céus, o que aconteceu? Parece que eu sou o único sobrevivente do acidente aéreo. Nossa, existem algumas aldeias nessa ilha.
Und jede Menge Bewohner gibt es hier auch. Zeige mir die Liste der Bewohner.|Parece que existem algumas pessoas vivendo nessas aldeias. Como posso ver uma lista de todos os habitantes?
Wow, hier ist einiges los!|Nossa, quantas pessoas!
Mensch, was bin ich hungrig. Ich suche mir erst einmal einen Metzger, bei dem ich eine Scheibe Wurst schnorren kann.|Cara! Estou com muita fome. Vou procurar um açougueiro e pedir algumas salsichas grátis.
Hier, lass es dir schmecken! Und pass bei deiner Reise gut auf, dass du dich von bösen Bewohnern fern hälst, solange du unbewaffnet bist. Denn nicht jeder hier ist friedlich!|Aqui está! Aproveite a refeição! Mas tome cuidado! Enquanto estiver desarmado, fique longe dos vilões. Nem todo mundo nessa ilha é amigável.
Danke Erich! Nagut, dann muss ich mal schauen, welche Bewohner friedlich sind.|Obrigado, Edward! Tá bom, vamos ver quem é amigável nesta ilha...
Früher oder später brauche ich aber ein Schwert. Lasst uns einen friedlichen Waffenschmied suchen, der mir ein Schwert schmieden kann. (Hinweis: Bedingungen im WHERE-Teil kannst du mit AND verknüpfen)|"Não tem jeito de conseguir uma espada por conta própria. Vou tentar encontrar algum ferreiro amigável para forjar uma espada para mim (""armamento-ferreiro""). (Dica: Você pode combinar predicados na cláusula WHERE usando o AND.)"
Hm, das sind sehr wenige. Vielleicht gibt es noch andere friedliche Schmiede, z.B. Hufschmied, Schmied, Waffenschmied, etc. Probiere beruf LIKE '%schmied', um alle Bewohner zu finden, deren Beruf mit 'schmied' endet (% ist ein Platzhalter für beliebig viele Zeichen).|"Isso não parece nada bom. Talvez outro aldeão amigável com perícia em ferraria possa ajudá-lo, por exemplo qualquer ferreiro. Tente: use LIKE ""%ferreiro"" para encontrar os habitantes cujo trabalho termine com ""ferreiro"" (% é um coringa para qualquer número de caracteres). "
schmied|ferreiro
Das sieht schon besser aus! Diese Schmiede kommen alle in Frage. Ich gehe sie dann mal nacheinander besuchen.|Assim parece melhor! Vou visitar esses ferreiros.
Hallo Fremder, wohin des Wegs? Ich bin Paul, der Bürgermeister von Affenstadt. Ich trage dich gerne als Bewohner meines Dorfes ein.|Olá estranho! Aonde está indo? Eu sou Paul, o prefeito da Cidade Macaco. Irei registrá-lo como cidadão.
Fremder|Estranho
Hey, nenn mich doch nicht Fremder! Naja, egal. Wie ist eigentlich meine bewohnernr? (Tipp: Der * in den vorherigen Abfragen stand immer für 'alle Spalten'. Stattdessen kannst du aber auch einen oder mehrere mit Komma getrennte Spaltennamen angeben.|Não precisa me chamar de estranho! Qual é meu idpessoa? (Dica: Em consultas formais, o * significa todas as colunas. Ao invés de utilizá-lo, você pode endereçar uma ou mais colunas, separadas por vírgula, e você obterá somente as colunas que precisar!)
Hallo Ernst! Was kostet bei dir ein Schwert?|Olá Ernesto! Quanto custa uma espada?
Ich schmiede dir ein Schwert für nur 150 Gold. Billiger bekommst du es nirgendwo! Wie viel Gold hast du momentan?|Posso forjar uma espada para você por 150 de ouro. Isso é o mais barato que você irá encontrar! Quanto de ouro você tem?
Mist, ich habe ja noch gar kein Gold. Ich habe aber auch keine Lust dafür arbeiten zu gehen. Hmmm, vorhin habe ich viele Gegenstände herumliegen gesehen, die niemandem gehören. Diese Gegenstände könnte ich einsammeln und an Händler verkaufen. Liste alle Gegenstände auf, die niemandem gehören. Tipp: Herrenlose Gegenstände erkennt man an WHERE besitzer IS NULL.|Nossa, o olho da cara! Deve haver outra opção para ganhar ouro além de ter que trabalhar. Talvez eu possa coletar itens sem dono e vendê-los. Posso fazer uma lista de itens que não pertencem a ninguém? (Dica: você pode identificar itens sem dono com: WHERE proprietario IS NULL)
So viele tolle Sachen!|Tanta coisa legal!
Lasst uns die Kaffeetasse einsammeln. Eine Kaffeetasse kann man immer mal gebrauchen.|Eba, uma xícara! Vamos coletá-la!
Kennst du einen Trick, wie wir alle Gegenstände auf einmal einsammeln können, die niemandem gehören?|Você sabe um truque para coletar todos os itens sem dono?
Jawoll! Welche Gegenstände besitze ich nun?|Agora liste todos os itens que eu tenho!
Finde friedliche Bewohner mit dem Beruf Haendler oder Kaufmann. Eventuell möchten sie etwas von uns kaufen. (Hinweis: Achte bei AND- und OR-Verknüpfungen auf korrekte Klammerung)|Encontre um habitante amigável que seja ou negociante ou mercador. Talvez ele queira comprar algum dos meus itens. (Dica: Quando utilizar tanto AND quanto OR , não esqueça de inserir corretamente os parênteses.)
Ich interessiere mich für den Ring und die Teekanne. Der Rest ist alles Schrott. Gib mir bitte die beiden Gegenstände. Meine Bewohnernummer ist übrigens 15.|Eu gostaria do bule e do anel. O resto não é nada além de sucata. Por favor me dê esses dois itens. Meu idpessoa é 15.
Dankeschön!|Obrigada!
Hier hast du einen Haufen Gold!|Aqui, um pouco de ouro!
Leider reicht das noch nicht für ein Schwert. Dann muss ich wohl doch arbeiten. Bevor ich mich jedoch irgendwo bewerbe, sollte ich vielleicht meinen Namen von Fremder auf meinen richtigen Namen ändern, ansonsten wird mich niemand einstellen.|Infelizmente, não é ouro suficiente para comprar uma espada. Parece que terei que trabalhar mesmo. Talvez não seja uma má ideia trocar meu nome de Estranho para meu nome real antes de me candidatar à um trabalho. 
In meiner Freizeit backe ich gerne. Ich glaube, ich verdiene mir ein bisschen Geld als Bäcker. Zeige mir alle Bäcker. Tipp: Mit ORDER BY gold kannst du die Liste sortieren, mit ORDER BY gold DESC steht sogar der reichste Bäcker oben.|Já que cozinhar é um de meus passatempos, por que não encontrar um padeiro para o qual eu possa trabalhar? (Dica: Liste todos os padeiros usando 'ORDER BY ouro' para ordenar os resultados. 'ORDER BY ouro DESC' é ainda melhor porque o padeiro mais rico ficará no topo.)
Ach, der Paul! Den kenn ich doch!|Olha, o Paul! Eu conheço ele!
Hi, da bist du ja wieder! Soso, %%%PLAYER_NAME%%% heißt du also. Und du willst als Bäcker arbeiten? Da sag ich nicht nein. Ich zahle dir pro hundert Brötchen, die du mir bäckst, 1 Gold.|Olá, você de novo! Então, %%%PLAYER_NAME%%% é seu nome. Vi que você quer trabalhar como padeiro? Tudo bem! Você receberá 1 de ouro para cada 100 pãezinhos.
(8 Stunden später...) Hier bittesehr, zehntausend Brötchen! Ich kündige! Ich habe nun genug Gold, um mir ein Schwert zu kaufen! Mal schauen, was jetzt mit meinem Kontostand passiert.|(8 horas depois...) Aqui, fiz 10 mil pãezinhos. Me demito! Isso deve dar ouro suficiente para comprar uma espada. Vamos ver o que acontece com o meu balanço de ouro.
Hier ist dein neues Schwert, %%%PLAYER_NAME_FUNNY%%%! Nun kannst du überall hin!|Aqui está sua nova espada %%%PLAYER_NAME_FUNNY%%%! Agora você pode ir para qualquer lugar!
Ich heiße %%%PLAYER_NAME%%%! Aber trotzdem danke.|Meu nome é %%%PLAYER_NAME%%%! De qualquer forma, obrigado!
Schwert|espada
Gibt es auf der Insel einen Piloten? Er könnte mich nach Hause fliegen.|Existe algum piloto nessa ilha, por acaso? Ele poderia me levar para casa.
Oh, er hat den Status 'gefangen'.|Ah não, o status dele é de desaparecido.
Es ist schrecklich! Dirty Dieter hält den Piloten gefangen! Ich verrate dir einen Trick, wie wir schnell herausfinden können, in welchem Dorf Dirty Dieter wohnt.|Horrível, o piloto está sendo mantido em cativeiro por Dieter Sujo! Vou te mostrar um truque para descobrir o nome da vila em que Dieter Sujo mora.
Auf diese Weise kannst du das Dorf mit der Dorf-Nummer suchen, die bei Dirty Dieter im Feld dorfnr steht. Ein solch genialer Ausdruck nennt sich Verbund oder Join.|A expressão utilizada é chamada de junção. Ela combina a informação da tabela habitante com as informações da tabela aldeia coincidindo os valores de idaldeia.
Danke für den Tipp. Dann suche ich erst einmal den Häuptling des Dorfes Zwiebelhausen. Im Feld haeuptling der Tabelle dorf steht ja die bewohnernr des Häuptlings des jeweiligen Dorfes.|Obrigado pela dica! Posso usar a junção para descobrir o nome do chefe da Cidade Cebola. (Dica: Na coluna 'chefe' na tabela aldeia, o idpessoa do chefe é armazenado.)
Juhu! Ich hab's! Dann gehe ich mal Fritz besuchen, um ihn nach Dirty Dieter und dem Piloten zu fragen.|Entendi! Vou visitar o Fred e perguntar sobre o Dieter Sujo e o piloto!
Hm, wie viele Einwohner hat eigentlich Zwiebelhausen?|Hm, quantos habitantes a Cidade Cebola tem?
